Date,GSR
2022-02-02,79.66183417379791
2022-02-03,80.58100558659218
2022-02-04,80.38264493536782
2022-02-07,78.8958207112139
2022-02-08,78.7497305289264
2022-02-09,78.6424372802628
2022-02-10,78.07304823583424
2022-02-11,78.7811396959458
2022-02-14,78.33927673689715
2022-02-15,79.47553779133796
2022-02-16,79.24240347749881
2022-02-17,79.61380193678092
2022-02-18,79.13801163648864
2022-02-22,78.40483365482066
2022-02-23,77.75198238419276
2022-02-24,77.98346882158062
2022-02-25,78.6139942656342
2022-02-28,77.968885499578
2022-03-01,76.07112063266545
2022-03-02,76.27764687883077
2022-03-03,76.74667844750523
2022-03-04,76.21984357255238
2022-03-07,77.5444357054071
2022-03-08,75.87399354872393
2022-03-09,77.10137154043598
2022-03-10,76.25753763777904
2022-03-11,75.94805342826288
